INSTNM,CITY,STATE,LAT,LON,X,Y
Alabama A & M University,Normal,AL,34.783368,-86.568502,-86.56850689,34.78337457
University of Alabama at Birmingham,Birmingham,AL,33.505697,-86.799345,-86.79934988,33.50570329
Amridge University,Montgomery,AL,32.362609,-86.17401,-86.17401464,32.36261507
University of Alabama in Huntsville,Huntsville,AL,34.724557,-86.640449,-86.6404539,34.72456355
Alabama State University,Montgomery,AL,32.364317,-86.295677,-86.29568168,32.36432307
University of Alabama System Office,Tuscaloosa,AL,33.207015,-87.529594,-87.52959907,33.2070212
The University of Alabama,Tuscaloosa,AL,33.2144,-87.545766,-87.54577107,33.2144062
Athens State University,Athens,AL,34.805625,-86.96514,-86.965145,34.80563155
Auburn University at Montgomery,Montgomery,AL,32.369939,-86.177351,-86.17735564,32.36994507
Auburn University,Auburn,AL,32.599378,-85.488258,-85.48826246,32.59938415
Birmingham Southern College,Birmingham,AL,33.513774,-86.850552,-86.85055689,33.51378029
Concordia College Alabama,Selma,AL,32.42443,-87.023531,-87.02353589,32.42443605
South University-Montgomery,Montgomery,AL,32.342684,-86.216488,-86.21649265,32.34269006
Faulkner University,Montgomery,AL,32.384181,-86.21641,-86.21641466,32.38418707
Herzing University-Birmingham,Birmingham,AL,33.468105,-86.832299,-86.83230389,33.46811128
Huntingdon College,Montgomery,AL,32.350939,-86.285313,-86.28531767,32.35094506
Heritage Christian University,Florence,AL,34.859089,-87.662062,-87.6620672,34.85909554
J F Ingram State Technical College,Deatsville,AL,32.582312,-86.392369,-86.39237371,32.58231811
Jacksonville State University,Jacksonville,AL,33.822938,-85.765321,-85.7653256,33.8229444
Judson College,Marion,AL,32.630526,-87.316127,-87.31613198,32.63053209
University of West Alabama,Livingston,AL,32.588132,-88.186329,-88.18633422,32.58813805
Marion Military Institute,Marion,AL,32.623734,-87.322041,-87.32204598,32.62374008
Miles College,Fairfield,AL,33.481306,-86.908605,-86.90860991,33.48131228
University of Mobile,Mobile,AL,30.793247,-88.128934,-88.12893912,30.79325266
University of Montevallo,Montevallo,AL,33.10625,-86.865099,-86.86510388,33.1062562
University of North Alabama,Florence,AL,34.806738,-87.681361,-87.6813662,34.80674453
Oakwood University,Huntsville,AL,34.756344,-86.652705,-86.65270991,34.75635056
Prince Institute-Southeast,Elmhurst,IL,32.383106,-86.162237,-86.16224164,32.38311208
Reid State Technical College,Evergreen,AL,31.460265,-86.964797,-86.96480182,31.46027085
Samford University,Birmingham,AL,33.464128,-86.791799,-86.79180388,33.46413428
Selma University,Selma,AL,32.420358,-87.033826,-87.03383089,32.42036405
University of South Alabama,Mobile,AL,30.696033,-88.178711,-88.17871613,30.69603864
Spring Hill College,Mobile,AL,30.694751,-88.138199,-88.13820411,30.69475664
Southeastern Bible College,Birmingham,AL,33.378935,-86.749045,-86.74904986,33.37894127
Stillman College,Tuscaloosa,AL,33.199228,-87.585242,-87.58524708,33.1992342
Talladega College,Talladega,AL,33.433472,-86.112704,-86.11270868,33.4334783
Troy University,Troy,AL,31.800672,-85.957094,-85.95709855,31.80067796
Tuskegee University,Tuskegee,AL,32.4309,-85.708492,-85.70849651,32.4309061
United States Sports Academy,Daphne,AL,30.639329,-87.91163,-87.91163505,30.63933463
University of Alaska Anchorage,Anchorage,AK,61.190163,-149.82619,-149.826213,61.19016465
Alaska Bible College,Palmer,AK,61.598553,-149.111972,-149.1119953,61.59855474
University of Alaska Fairbanks,Fairbanks,AK,64.85756,-147.823146,-147.823172,64.85756175
University of Alaska Southeast,Juneau,AK,58.384846,-134.638255,-134.6382756,58.38485018
Alaska Pacific University,Anchorage,AK,61.191235,-149.804242,-149.804265,61.19123665
AVTEC-Alaska's Institute of Technology,Seward,AK,60.110727,-149.444573,-149.4445953,60.11072878
Charter College,Vancouver,WA,45.617798,-122.494766,-122.4947805,45.61780349
Alaska Career College,Anchorage,AK,61.181443,-149.856954,-149.856977,61.18144465
University of Alaska System of Higher Education,Fairbanks,AK,64.857516,-147.848969,-147.848995,64.85751775
Thunderbird School of Global Management,Glendale,AZ,33.620887,-112.180861,-112.1808721,33.62089214
American Indian College Inc,Phoenix,AZ,33.577738,-112.092247,-112.092258,33.57774313
American Institute of Trucking,Phoenix,AZ,33.442262,-112.175304,-112.175315,33.44226711
Carrington College-Phoenix North,Phoenix,AZ,33.560821,-112.115546,-112.115557,33.56082613
Carrington College-Mesa,Mesa,AZ,33.39248,-111.853218,-111.853229,33.39248512
Carrington College-Tucson,Tucson,AZ,32.224,-110.982961,-110.9829717,32.224005
CollegeAmerica-Flagstaff,Flagstaff,AZ,35.194495,-111.657673,-111.6576841,35.19450037
Arizona Automotive Institute,Glendale,AZ,33.537249,-112.157344,-112.157355,33.53725412
Brookline College-Phoenix,Phoenix,AZ,33.566102,-112.112473,-112.112484,33.56610713
Arizona State University-Tempe,Tempe,AZ,33.417721,-111.934383,-111.934394,33.41772612
Arizona Western College,Yuma,AZ,32.689306,-114.495968,-114.4959794,32.68931089
University of Arizona,Tucson,AZ,32.232672,-110.950815,-110.9508257,32.232677
Southwest University of Visual Arts-Tucson,Tucson,AZ,32.252384,-110.927321,-110.9273317,32.25238901
Central Arizona College,Coolidge,AZ,32.957092,-111.652501,-111.6525119,32.95709707
Brown Mackie College-Tucson,Tucson,AZ,32.236736,-110.895086,-110.8950967,32.23674101
Cortiva Institute-Tucson,Tucson,AZ,32.21901,-110.856785,-110.8567957,32.219015
Eastern Arizona College,Thatcher,AZ,32.843664,-109.76234,-109.7623505,32.84366915
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,34.616766,-112.449741,-112.4497522,34.61677125
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,33.60205,-111.843211,-111.843222,33.60205515
Grand Canyon University,Phoenix,AZ,33.512172,-112.129917,-112.129928,33.51217712
ITT Technical Institute-Tucson,Tucson,AZ,32.297261,-110.997501,-110.9975117,32.29726601
ITT Technical Institute-Tempe,Tempe,AZ,33.380355,-111.969169,-111.96918,33.38036011
Dine College,Tsaile,AZ,36.293328,-109.21684,-109.2168507,36.29333367
Northern Arizona University,Flagstaff,AZ,35.188449,-111.653724,-111.6537351,35.18845437
Northland Pioneer College,Holbrook,AZ,34.93031,-110.142199,-110.1422097,34.93031543
Ottawa University-Phoenix,Phoenix,AZ,33.57172,-112.113291,-112.113302,33.57172513
Phoenix College,Phoenix,AZ,33.481361,-112.088293,-112.088304,33.48136612
Cortiva Institute-Scottsdale,Scottsdale,AZ,33.466554,-111.908433,-111.908444,33.46655913
Pima Medical Institute-Tucson,Tucson,AZ,32.250448,-110.921306,-110.9213167,32.25045301
Pima Medical Institute-Albuquerque,Albuquerque,NM,35.10485,-106.594461,-106.594471,35.10485565
Prescott College,Prescott,AZ,34.5445,-112.476509,-112.4765202,34.54450524
Refrigeration School Inc,Phoenix,AZ,33.448692,-111.989357,-111.989368,33.44869712
Rio Salado College,Tempe,AZ,33.413138,-111.975201,-111.975212,33.41314312
Roberto-Venn School of Luthiery,Phoenix,AZ,33.45489,-112.086161,-112.086172,33.45489512
Arizona Christian University,Phoenix,AZ,33.595117,-112.026211,-112.026222,33.59512214
Tucson College,Tucson,AZ,32.22205,-110.883181,-110.8831917,32.222055
Universal Technical Institute of Arizona Inc,Avondale,AZ,33.453533,-112.289693,-112.2897041,33.45353811
Western International University,Tempe,AZ,33.40244,-111.965121,-111.965132,33.40244512
Yavapai College,Prescott,AZ,34.547512,-112.454156,-112.4541672,34.54751724
University of Arkansas at Little Rock,Little Rock,AR,34.726644,-92.341835,-92.34184148,34.72665031
University of Arkansas for Medical Sciences,Little Rock,AR,34.749048,-92.320046,-92.32005248,34.74905431
Arkansas Baptist College,Little Rock,AR,34.734751,-92.290555,-92.29056147,34.73475731
Lyon College,Batesville,AR,35.777619,-91.625354,-91.62536036,35.77762554
University of Arkansas,Fayetteville,AR,36.070009,-94.176981,-94.17698807,36.07001547
University of Arkansas at Pine Bluff,Pine Bluff,AR,34.244031,-92.018683,-92.01868937,34.24403723
Arkansas State University-Beebe,Beebe,AR,35.074176,-91.895351,-91.89535739,35.07418239
Arkansas State University-Main Campus,Jonesboro,AR,35.842388,-90.679988,-90.67999411,35.8423946
Arkansas Tech University,Russellville,AR,35.293237,-93.13562,-93.13562673,35.29324338
University of Arkansas at Monticello,Monticello,AR,33.590909,-91.811153,-91.81115927,33.59091511
Baptist Health College-Little Rock,Little Rock,AR,34.713115,-92.40692,-92.4069265,34.7131213
Black River Technical College,Pocahontas,AR,36.239793,-90.951033,-90.95103921,36.23979966
University of Central Arkansas,Conway,AR,35.077945,-92.457672,-92.45767854,35.07795137
Central Baptist College,Conway,AR,35.084574,-92.444102,-92.44410854,35.08458037
Crowley's Ridge College,Paragould,AR,36.066239,-90.58482,-90.5848261,36.06624564
Crowley's Ridge Technical Institute,Forrest City,AR,35.039816,-90.767321,-90.76732708,35.03982244
Eastern College of Health Vocations-Little Rock,Little Rock,AR,34.75128,-92.341891,-92.34189749,34.75128631
Imagine-Paul Mitchell Partner School,North Little Rock,AR,34.791306,-92.221304,-92.22131046,34.79131232
National Park College,Hot Springs,AR,34.512731,-93.117111,-93.11711768,34.51273723
